videoID,url,timestamp,caption,matching_score,desirable_filtering,shot_boundary_detection
---4IxR2xOg,https://www.youtube.com/watch?v=---4IxR2xOg,"[['0:00:16.300', '0:00:32.566'], ['0:00:44.100', '0:00:49.066'], ['0:01:50.000', '0:01:58.833']]","['A news anchor standing next to a picture of a dog in a wheel chair.', 'A man talking to a woman on fox news.', 'A man in an orange shirt is working on a piece of wood.']","[0.453857421875, 0.44873046875, 0.464111328125]","['0_low_desirable_score', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:16.233']], [['0:00:00.000', '0:00:04.933']], [['0:00:00.000', '0:00:01.933'], ['0:00:01.966', '0:00:04.333'], ['0:00:04.366', '0:00:08.800']]]"
---7zZh4oZk,https://www.youtube.com/watch?v=---7zZh4oZk,"[['0:00:14.160', '0:00:16.440'], ['0:00:26.240', '0:00:30.560'], ['0:00:40.120', '0:00:49.040']]","['A group of people in white coats standing next to each other.', 'A tv screen showing a man standing in front of a dam.', 'A tv screen with a man standing in front of a group of men.']","[0.456787109375, 0.4697265625, 0.454345703125]","['0_low_desirable_score', '3_screen_in_screen', '3_screen_in_screen']","[[['0:00:00.000', '0:00:02.240']], [['0:00:00.000', '0:00:01.960'], ['0:00:02.000', '0:00:04.280']], [['0:00:00.000', '0:00:08.880']]]"
---Tt_FYlTQ,https://www.youtube.com/watch?v=---Tt_FYlTQ,"[['0:00:01.067', '0:00:09.876'], ['0:01:07.067', '0:01:14.574'], ['0:01:15.809', '0:01:18.645']]","['It is a news broadcast with a woman in a blue dress sitting at a desk in front of a city skyline.', 'A man with a microphone is talking to a group of people in a room.', 'A man in a plaid shirt standing in front of a group of people.']","[0.473388671875, 0.43359375, 0.459716796875]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:08.775']], [['0:00:00.000', '0:00:07.474']], [['0:00:00.000', '0:00:02.802']]]"
---azc0s53U,https://www.youtube.com/watch?v=---azc0s53U,"[['0:00:50.560', '0:00:57.280'], ['0:01:58.800', '0:02:10.680'], ['0:03:40.480', '0:03:45.840']]","['A man is talking to another man while sitting in a black chair.', 'A group of soccer players are standing on a field and one player is being instructed by another player.', 'There are two soccer players, one in a black and red jersey and the other in a blue and white jersey, playing against each other on a field with a crowd of people watching.']","[0.47021484375, 0.471923828125, 0.45556640625]","['desirable', 'desirable', '1_still_foreground_image']","[[['0:00:00.000', '0:00:00.960'], ['0:00:01.000', '0:00:06.680']], [['0:00:00.000', '0:00:11.840']], [['0:00:00.000', '0:00:05.320']]]"
---dI8zrQJI,https://www.youtube.com/watch?v=---dI8zrQJI,"[['0:00:24.120', '0:00:28.040'], ['0:00:38.160', '0:00:40.280'], ['0:02:05.000', '0:02:07.080']]","['A naked man is standing in front of a red background with a towel wrapped around his waist.', 'A woman smiling while sitting next to other people.', 'A group of people standing around a man on a stage.']","[0.443359375, 0.46728515625, 0.457763671875]","['0_low_desirable_score', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:03.880']], [['0:00:00.000', '0:00:02.080']], [['0:00:00.000', '0:00:02.040']]]"
--0EdaCtR_4,https://www.youtube.com/watch?v=--0EdaCtR_4,"[['0:00:38.440', '0:00:47.120'], ['0:00:49.640', '0:01:01.680'], ['0:02:48.320', '0:03:04.320']]","['A man in a blue shirt talking to the camera.', 'A man in a blue shirt talking to the camera.', 'A man in a blue shirt is talking to the camera.']","[0.44677734375, 0.449462890625, 0.43798828125]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:08.640']], [['0:00:00.000', '0:00:12.000']], [['0:00:00.000', '0:00:15.960']]]"
--0G4wPymVw,https://www.youtube.com/watch?v=--0G4wPymVw,"[['0:00:49.833', '0:00:51.875'], ['0:00:52.750', '0:00:57.750'], ['0:02:48.000', '0:02:52.000']]","['A close up of a black piece of luggage.', 'It is a close up picture of a black case in a room.', 'There are two zippers on the main zippers that can be locked, and the speaker mentions that you will need to buy two locks.']","[0.44287109375, 0.43994140625, 0.444580078125]","['1_still_foreground_image', '2_tiny_camera_movement', 'desirable']","[[['0:00:00.000', '0:00:02.000']], [['0:00:00.000', '0:00:04.958']], [['0:00:00.000', '0:00:03.958']]]"
--14U7iEJ1U,https://www.youtube.com/watch?v=--14U7iEJ1U,"[['0:00:18.118', '0:00:25.992'], ['0:03:21.401', '0:03:48.094'], ['0:06:56.149', '0:07:01.521']]","['A man is working on a piece of wood.', 'A man with a mask on his face working on a piece of wood.', 'A man is working on a piece of furniture made out of wood.']","[0.451171875, 0.461669921875, 0.44384765625]","['desirable', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:07.841']], [['0:00:00.000', '0:00:13.646'], ['0:00:13.680', '0:00:26.659']], [['0:00:00.000', '0:00:05.338']]]"
--1GL5dLrYI,https://www.youtube.com/watch?v=--1GL5dLrYI,"[['0:00:07.000', '0:00:09.320'], ['0:00:20.600', '0:00:28.600'], ['0:00:31.640', '0:00:48.240']]","['A pink and white cake on a plate with a bite taken out of it.', 'A person is mixing something in a bowl.', 'A close up of a mixer with batter in it.']","[0.479248046875, 0.45068359375, 0.457763671875]","['1_still_foreground_image', 'desirable', 'desirable']","[[['0:00:00.000', '0:00:02.280']], [['0:00:00.000', '0:00:07.960']], [['0:00:00.000', '0:00:16.560']]]"
--27AXZqb7A,https://www.youtube.com/watch?v=--27AXZqb7A,"[['0:02:21.774', '0:02:25.812'], ['0:08:23.269', '0:08:26.672'], ['0:10:31.497', '0:10:44.343']]","['A close up of a hand opening a box.', 'A person is looking at a speaker design and discussing the drivers.', 'A pair of black shoes in a black case and a pair of black bowls on a wooden floor.']","[0.44873046875, 0.459228515625, 0.462890625]","['desirable', 'desirable', '0_low_desirable_score']","[[['0:00:00.000', '0:00:04.004']], [['0:00:00.000', '0:00:03.370']], [['0:00:00.000', '0:00:12.812']]]"
